wavelen(micron) a(micron) Qabs Qext Qpol
0.116350 0.182531 1.017033 2.226274 -0.000935
0.116350 0.193788 1.002049 2.208870 -0.000307
0.116350 0.205741 0.987711 2.192009 0.000365
0.116350 0.218430 0.974039 2.175974 0.001033
0.116350 0.231902 1.046406 2.347334 0.000000
0.116350 0.246205 1.035538 2.334982 0.000000
0.116350 0.261390 1.024813 2.322728 0.000000
0.116350 0.277512 1.014744 2.311116 0.000000
0.116350 0.294628 1.005022 2.299837 0.000000
0.116350 0.312800 0.995656 2.288904 0.000000
0.116350 0.332093 0.986863 2.278545 0.000000
0.116350 0.352575 0.978199 2.268295 0.000000
0.116350 0.374321 0.970075 2.258591 0.000000
0.116350 0.397408 0.962214 2.249142 0.000000
0.116350 0.421919 0.954660 2.239999 0.000000
0.116350 0.447941 0.947561 2.231323 0.000000
0.116350 0.475569 0.940576 2.222749 0.000000
0.116350 0.504900 0.934036 2.214637 0.000000
0.116350 0.536041 0.927692 2.206721 0.000000
0.116350 0.569102 0.921613 2.199078 0.000000
0.116350 0.604203 0.915894 2.191814 0.000000
0.116350 0.641468 0.910276 2.184646 0.000000
0.116350 0.681032 0.905023 2.177872 0.000000
0.116350 0.723036 0.899916 2.171245 0.000000
0.116350 0.767630 0.895035 2.164861 0.000000
0.116350 0.814976 0.890439 2.158787 0.000000
0.116350 0.865241 0.885931 2.152802 0.000000
0.116350 0.918606 0.881724 2.147151 0.000000
0.116350 0.975263 0.877623 2.141612 0.000000
0.116350 1.035414 0.873717 2.136289 0.000000
0.116350 1.099275 0.870034 2.131219 0.000000
0.116350 1.167075 0.866430 2.126231 0.000000
0.116350 1.239056 0.863071 2.121527 0.000000
0.116350 1.315478 0.859789 2.116905 0.000000
0.116350 1.396612 0.856673 2.112477 0.000000
0.116350 1.482751 0.853731 2.108253 0.000000
0.116350 1.574202 0.850859 2.104104 0.000000
0.116350 1.671294 0.848187 2.100198 0.000000
0.116350 1.774374 0.845570 2.096351 0.000000
0.116350 1.883812 0.843094 2.092674 0.000000
0.116350 2.000000 0.840755 2.089164 0.000000
0.125501 0.001000 0.088930 0.088931 0.000000
0.125501 0.001062 0.094406 0.094408 0.000000
0.125501 0.001127 0.099833 0.099833 0.000000
0.125501 0.001197 0.106037 0.106037 0.000000
0.125501 0.001270 0.112578 0.112578 0.000000
0.125501 0.001349 0.119521 0.119521 0.000000
0.125501 0.001432 0.126893 0.126893 0.000000
0.125501 0.001520 0.134720 0.134720 0.000000
0.125501 0.001614 0.143029 0.143029 0.000000
0.125501 0.001714 0.151851 0.151851 0.000000
0.125501 0.001819 0.161217 0.161217 0.000000
0.125501 0.001932 0.171160 0.171161 0.000000
0.125501 0.002051 0.181717 0.181718 0.000000
0.125501 0.002177 0.192953 0.192954 0.000000
0.125501 0.002311 0.204859 0.204861 0.000000
0.125501 0.002454 0.217495 0.217497 0.000000
0.125501 0.002605 0.230911 0.230913 0.000000
0.125501 0.002766 0.245154 0.245156 0.000000
0.125501 0.002937 0.260276 0.260279 0.000000
0.125501 0.003118 0.276331 0.276335 0.000000
0.125501 0.003310 0.293376 0.293381 0.000000
0.125501 0.003514 0.311473 0.311480 0.000000
0.125501 0.003731 0.330687 0.330695 0.000000
0.125501 0.003961 0.351087 0.351097 0.000000
0.125501 0.004205 0.372745 0.372758 0.000000
0.125501 0.004465 0.395740 0.395757 0.000000
0.125501 0.004740 0.420154 0.420176 0.000000
0.125501 0.005033 0.439643 0.439722 0.027747
0.125501 0.005343 0.409946 0.410597 0.029899
0.125501 0.005673 0.385154 0.386567 0.032281
0.125501 0.006022 0.364867 0.367290 0.034936
0.125501 0.006394 0.348748 0.352500 0.037907
0.125501 0.006788 0.336524 0.342013 0.041255
0.125501 0.007207 0.327977 0.335730 0.045050
0.125501 0.007651 0.322959 0.333649 0.049381
0.125501 0.008123 0.321362 0.335860 0.054356
0.125501 0.008624 0.323158 0.342574 0.060117
0.125501 0.009156 0.328371 0.354143 0.066842
