wavelen(micron) a(micron) Qabs Qext Qpol
0.116350 1.099275 0.816050 3.126014 0.093951
0.116350 1.167075 0.849152 3.054277 0.084450
0.116350 1.239056 0.868249 2.826381 0.063223
0.116350 1.315478 0.877869 2.483700 0.033293
0.116350 1.396612 0.884641 2.185698 0.016837
0.116350 1.482751 0.899632 2.188061 0.048889
0.116350 1.574202 0.916497 2.385603 0.117075
0.116350 1.671294 0.929248 2.521047 0.132744
0.116350 1.774374 0.938663 2.660786 0.111237
0.116350 1.883812 0.946047 2.780668 0.073899
0.116350 2.000000 0.954699 2.731340 0.068220
0.125501 0.001000 0.045837 0.052059 0.018687
0.125501 0.001062 0.048685 0.055304 0.019848
0.125501 0.001127 0.051695 0.058721 0.021077
0.125501 0.001197 0.054923 0.062388 0.022398
0.125501 0.001270 0.058341 0.066270 0.023796
0.125501 0.001349 0.061970 0.070399 0.025278
0.125501 0.001432 0.065803 0.074754 0.026848
0.125501 0.001520 0.069949 0.079471 0.028543
0.125501 0.001614 0.074320 0.084427 0.030334
0.125501 0.001714 0.078960 0.089732 0.032240
0.125501 0.001819 0.083906 0.095353 0.034270
0.125501 0.001932 0.089190 0.101367 0.036442
0.125501 0.002051 0.094808 0.107768 0.038754
0.125501 0.002177 0.100827 0.114585 0.041217
0.125501 0.002311 0.107144 0.121882 0.043845
0.125501 0.002454 0.113939 0.129593 0.046666
0.125501 0.002605 0.121272 0.137941 0.049686
0.125501 0.002766 0.129045 0.146848 0.052930
0.125501 0.002937 0.137302 0.156313 0.056357
0.125501 0.003118 0.146200 0.166530 0.060085
0.125501 0.003310 0.155711 0.177454 0.064048
0.125501 0.003514 0.165875 0.189159 0.068322
0.125501 0.003731 0.176810 0.201811 0.072938
0.125501 0.003961 0.188513 0.215452 0.077950
0.125501 0.004205 0.201094 0.230144 0.083348
0.125501 0.004465 0.214605 0.245976 0.089172
0.125501 0.004740 0.229277 0.263173 0.095520
0.125501 0.005033 0.245033 0.281898 0.102408
0.125501 0.005343 0.261996 0.302199 0.109937
0.125501 0.005673 0.280441 0.324410 0.118167
0.125501 0.006022 0.300461 0.348767 0.127240
0.125501 0.006394 0.322128 0.375528 0.137220
